Date,Open,High,Low,Close,Volume
8-Jul-16,51.73,52.36,51.55,52.30,28391026
7-Jul-16,51.42,51.61,51.07,51.38,19585194
6-Jul-16,50.78,51.54,50.39,51.38,28167461
5-Jul-16,50.83,51.28,50.74,51.17,24806351
1-Jul-16,51.13,51.72,51.07,51.16,21400392
30-Jun-16,50.72,51.30,50.50,51.17,28527781
29-Jun-16,49.91,50.72,49.80,50.54,31304021
28-Jun-16,48.92,49.47,48.67,49.44,38140658
27-Jun-16,49.10,49.15,48.04,48.43,50576699
24-Jun-16,49.81,50.94,49.52,49.83,133502985
23-Jun-16,51.28,52.06,51.15,51.91,29028833
22-Jun-16,51.08,51.46,50.95,50.99,28816848
21-Jun-16,50.20,51.43,50.16,51.19,34097825
20-Jun-16,50.64,50.83,50.03,50.07,35607946
17-Jun-16,50.41,50.43,49.82,50.13,45710516
16-Jun-16,49.52,50.47,49.51,50.39,31188605
15-Jun-16,49.78,50.12,49.69,49.69,33757639
14-Jun-16,49.90,50.10,49.57,49.83,42577106
13-Jun-16,49.58,50.72,49.06,50.14,83217844
10-Jun-16,51.05,52.05,51.04,51.48,25833151
9-Jun-16,52.00,52.00,51.49,51.62,20305664
8-Jun-16,52.02,52.44,51.87,52.04,21149438
7-Jun-16,52.24,52.73,52.10,52.10,20866770
6-Jun-16,51.99,52.35,51.89,52.13,18243271
3-Jun-16,52.38,52.42,51.60,51.79,23368291
2-Jun-16,52.64,52.74,51.84,52.48,22840779
1-Jun-16,52.44,52.95,52.44,52.85,25324828
31-May-16,52.26,53.00,52.08,53.00,37653081
27-May-16,51.92,52.32,51.77,52.32,17653660
26-May-16,51.93,51.98,51.36,51.89,24182929
25-May-16,51.92,52.49,51.79,52.12,24040186
24-May-16,50.70,51.71,50.40,51.59,34621638
23-May-16,50.60,50.68,49.98,50.03,25999674
20-May-16,50.48,51.22,50.40,50.62,23692434
19-May-16,50.47,50.62,49.82,50.32,23722753
18-May-16,50.48,51.14,50.30,50.81,24803172
17-May-16,51.72,51.73,50.36,50.51,27766669
16-May-16,50.80,51.96,50.75,51.83,19944632
13-May-16,51.44,51.90,51.04,51.08,22436700
12-May-16,51.20,51.81,50.92,51.51,24099431
11-May-16,51.13,51.78,51.00,51.05,23910684
10-May-16,50.33,51.10,50.19,51.02,22741527
9-May-16,50.49,50.58,50.00,50.07,17844648
6-May-16,49.92,50.39,49.66,50.39,24715575
5-May-16,49.87,50.30,49.73,49.94,25309543
4-May-16,49.84,50.06,49.46,49.87,24171449
3-May-16,50.34,50.41,49.60,49.78,26196074
2-May-16,50.00,50.75,49.78,50.61,33004106
29-Apr-16,49.35,50.25,49.35,49.87,48339735
28-Apr-16,50.62,50.77,49.56,49.90,42758226
27-Apr-16,51.48,51.50,50.55,50.94,43145896
26-Apr-16,52.26,52.35,51.09,51.44,33262278
25-Apr-16,51.78,52.13,51.63,52.11,33106540
22-Apr-16,51.91,52.43,50.77,51.78,125600219
21-Apr-16,55.80,56.23,55.42,55.78,36826521
20-Apr-16,56.29,56.50,55.48,55.59,36014074
19-Apr-16,56.63,56.77,55.68,56.39,29533701
18-Apr-16,55.49,56.59,55.21,56.46,23150318
15-Apr-16,55.30,55.92,55.11,55.65,28377584
14-Apr-16,55.22,55.58,55.07,55.36,20875102
13-Apr-16,55.12,55.44,54.89,55.35,20601278
12-Apr-16,54.37,54.78,53.76,54.65,24574169
11-Apr-16,54.49,55.15,54.30,54.31,21332336
8-Apr-16,54.67,55.28,54.32,54.42,22157037
7-Apr-16,54.87,54.91,54.23,54.46,18584125
6-Apr-16,54.36,55.20,54.21,55.12,21032057
5-Apr-16,55.19,55.30,54.46,54.56,19148783
4-Apr-16,55.43,55.66,55.00,55.43,18832210
1-Apr-16,55.05,55.61,54.57,55.57,24298612
31-Mar-16,54.95,55.59,54.86,55.23,26173764
30-Mar-16,54.93,55.64,54.90,55.05,22920330
29-Mar-16,53.66,54.86,53.45,54.71,23375017
28-Mar-16,54.21,54.29,53.33,53.54,16988240
24-Mar-16,53.84,54.33,53.73,54.21,18842667
23-Mar-16,54.11,54.24,53.74,53.97,19905295
22-Mar-16,53.61,54.25,53.46,54.07,22911577
21-Mar-16,53.25,53.93,52.93,53.86,23807263
18-Mar-16,54.92,54.97,53.44,53.49,67422879
17-Mar-16,54.21,55.00,54.00,54.66,28186465
16-Mar-16,53.45,54.60,53.40,54.35,31297892
15-Mar-16,52.75,53.59,52.74,53.59,21104763
14-Mar-16,52.71,53.59,52.63,53.17,23751138
11-Mar-16,53.00,53.07,52.38,53.07,32174336
10-Mar-16,52.93,52.94,51.16,52.05,38384242
9-Mar-16,51.89,52.85,51.86,52.84,28145151
8-Mar-16,50.80,52.13,50.60,51.65,33352218
7-Mar-16,51.56,51.80,50.58,51.03,38407847
4-Mar-16,52.40,52.45,51.71,52.03,32280449
3-Mar-16,52.97,52.97,51.78,52.35,24418148
2-Mar-16,52.41,52.96,52.16,52.95,29049172
1-Mar-16,50.97,52.59,50.92,52.58,32778474
29-Feb-16,51.35,51.65,50.66,50.88,31247142
26-Feb-16,52.60,52.68,51.10,51.30,35869193
25-Feb-16,51.73,52.10,50.61,52.10,26695920
24-Feb-16,50.69,51.50,50.20,51.36,32076012
23-Feb-16,52.34,52.37,50.98,51.18,28390773
22-Feb-16,52.28,53.00,52.28,52.65,24854437
19-Feb-16,51.97,52.28,51.53,51.82,33275399
18-Feb-16,52.33,52.95,52.10,52.19,26244683
17-Feb-16,51.49,52.77,51.45,52.42,39670289
16-Feb-16,50.90,51.09,50.13,51.09,35937137
12-Feb-16,50.25,50.68,49.75,50.50,33292336
11-Feb-16,48.68,50.11,48.51,49.69,48448154
10-Feb-16,49.89,50.39,49.52,49.71,37899918
9-Feb-16,49.02,50.24,48.67,49.28,45822192
8-Feb-16,49.55,49.57,48.19,49.41,57006105
5-Feb-16,51.94,52.00,49.56,50.16,60651115
4-Feb-16,52.10,52.81,51.37,52.00,46803371
3-Feb-16,53.25,53.39,51.26,52.16,57347519
2-Feb-16,54.17,54.26,52.65,53.00,54453559
1-Feb-16,54.88,55.09,54.50,54.71,43587105
29-Jan-16,54.73,55.09,54.00,55.09,83137039
28-Jan-16,51.86,52.21,51.25,52.06,58489190
27-Jan-16,52.01,52.20,51.02,51.22,36266102
26-Jan-16,51.79,52.44,51.55,52.17,28699484
25-Jan-16,51.94,52.65,51.65,51.79,34497323
22-Jan-16,51.41,52.33,51.26,52.29,36878402
21-Jan-16,51.00,51.58,50.30,50.48,40169367
20-Jan-16,49.98,51.38,49.10,50.79,63162940
19-Jan-16,51.48,51.68,50.06,50.56,43128276
15-Jan-16,51.31,51.97,50.34,50.99,70739137
14-Jan-16,52.00,53.42,51.57,53.11,51429807
13-Jan-16,53.80,54.07,51.30,51.64,66119018
12-Jan-16,52.76,53.10,52.06,52.78,36095539
11-Jan-16,52.51,52.85,51.46,52.30,36943756
8-Jan-16,52.37,53.28,52.15,52.33,48753969
7-Jan-16,52.70,53.48,52.07,52.17,56564852
6-Jan-16,54.32,54.40,53.64,54.05,39518863
5-Jan-16,54.93,55.39,54.54,55.05,34079674
4-Jan-16,54.32,54.80,53.39,54.80,52843210
31-Dec-15,56.04,56.19,55.42,55.48,27334061
30-Dec-15,56.47,56.78,56.29,56.31,21704505
29-Dec-15,56.29,56.85,56.06,56.55,27731403
28-Dec-15,55.35,55.95,54.98,55.95,22458293
24-Dec-15,55.86,55.96,55.43,55.67,9570002
23-Dec-15,55.70,55.88,55.44,55.82,27279832
22-Dec-15,54.99,55.48,54.50,55.35,28322241
21-Dec-15,54.88,55.35,54.23,54.83,37246325
18-Dec-15,54.78,56.00,54.03,54.13,84684164
17-Dec-15,56.36,56.79,55.53,55.70,41280907
16-Dec-15,55.54,56.24,54.76,56.13,37503300
15-Dec-15,55.66,55.90,55.09,55.20,39842998
14-Dec-15,54.33,55.21,53.68,55.14,46768924
11-Dec-15,54.71,55.10,54.01,54.06,39549497
10-Dec-15,55.39,55.66,55.01,55.27,31775826
9-Dec-15,54.75,55.87,54.51,54.98,36373209
8-Dec-15,55.47,56.10,54.99,55.79,32878026
7-Dec-15,55.79,55.97,55.29,55.81,30709765
4-Dec-15,54.12,56.23,54.10,55.91,43963662
3-Dec-15,55.49,55.77,53.93,54.20,38627835
2-Dec-15,55.32,55.96,55.06,55.21,47244551
1-Dec-15,54.41,55.23,54.30,55.22,39848647
30-Nov-15,54.54,54.96,54.00,54.35,53885371
27-Nov-15,53.80,54.08,53.79,53.93,9009113
25-Nov-15,54.09,54.23,53.69,53.69,21005147
24-Nov-15,53.92,54.44,53.58,54.25,24482130
23-Nov-15,54.25,54.46,53.75,54.19,27767280
20-Nov-15,54.25,54.30,53.26,54.19,37100507
19-Nov-15,53.99,54.66,53.78,53.94,28131212
18-Nov-15,53.00,53.98,52.98,53.85,28794418
17-Nov-15,53.17,53.53,52.85,52.97,31211644
16-Nov-15,53.08,53.89,52.85,53.76,31610450
13-Nov-15,53.07,53.29,52.53,52.84,36399856
12-Nov-15,53.48,53.98,53.19,53.32,34485469
11-Nov-15,53.70,54.20,53.46,53.65,34004446
10-Nov-15,54.07,54.13,53.27,53.51,55020334
9-Nov-15,54.55,54.87,53.56,54.16,32466376
6-Nov-15,54.08,54.98,53.96,54.92,30488633
5-Nov-15,54.49,54.70,54.00,54.38,30648155
4-Nov-15,54.18,54.88,54.06,54.40,37020378
3-Nov-15,52.93,54.39,52.90,54.15,35842280
2-Nov-15,52.85,53.36,52.62,53.24,29946039
30-Oct-15,53.32,53.99,52.62,52.64,46473085
29-Oct-15,53.54,53.83,53.22,53.36,30036258
28-Oct-15,53.54,53.98,52.86,53.98,45353604
27-Oct-15,53.99,54.37,53.58,53.69,48640174
26-Oct-15,52.53,54.32,52.50,54.25,63486782
23-Oct-15,52.30,54.07,52.25,52.87,134828496
22-Oct-15,47.53,48.95,47.09,48.03,54435667
21-Oct-15,47.92,47.99,47.11,47.20,25144337
20-Oct-15,47.44,47.81,47.02,47.77,30573983
19-Oct-15,47.42,47.88,47.02,47.62,29106758
16-Oct-15,47.02,47.54,46.90,47.51,25779279
15-Oct-15,47.01,47.03,46.53,47.01,27118898
14-Oct-15,46.65,47.10,46.53,46.68,24645420
13-Oct-15,46.56,47.13,46.56,46.89,18937148
12-Oct-15,46.98,47.07,46.50,47.00,19734079
9-Oct-15,47.45,47.54,46.92,47.11,28397372
8-Oct-15,46.56,47.52,46.50,47.45,33679346
7-Oct-15,47.10,47.35,45.95,46.80,27381389
6-Oct-15,46.33,47.18,46.22,46.75,27017160
5-Oct-15,45.74,46.89,45.70,46.63,33015524
2-Oct-15,44.27,45.57,43.92,45.57,41571518
1-Oct-15,44.75,44.75,43.75,44.61,28470381
30-Sep-15,43.88,44.30,43.66,44.26,34589501
29-Sep-15,43.37,43.57,43.05,43.44,32653952
28-Sep-15,43.83,44.08,43.20,43.29,27219415
25-Sep-15,44.48,44.73,43.76,43.94,29177316
24-Sep-15,43.45,44.13,43.27,43.91,27652655
23-Sep-15,43.93,44.17,43.51,43.87,17057235
22-Sep-15,43.38,44.05,43.31,43.90,27824121
21-Sep-15,43.62,44.47,43.60,44.11,26075359
18-Sep-15,43.50,43.99,43.33,43.48,62221607
17-Sep-15,44.29,45.00,44.08,44.25,29817918
16-Sep-15,43.97,44.38,43.84,44.30,23256716
15-Sep-15,43.19,44.29,43.08,43.98,28662129
14-Sep-15,43.43,43.44,42.86,43.04,23633284
11-Sep-15,43.14,43.59,42.94,43.48,26184379
10-Sep-15,43.12,43.79,42.74,43.29,31234165
9-Sep-15,44.21,44.40,42.91,43.07,33318847
8-Sep-15,43.30,44.00,43.20,43.89,32204941
4-Sep-15,42.81,43.04,42.20,42.61,36771788
3-Sep-15,43.41,43.98,43.28,43.50,28053165
2-Sep-15,42.36,43.38,41.88,43.36,37490396
1-Sep-15,42.17,42.59,41.66,41.82,49194736
31-Aug-15,43.56,43.93,43.10,43.52,34159135
28-Aug-15,43.40,44.15,43.39,43.93,28104231
27-Aug-15,43.23,43.95,42.92,43.90,50498307
26-Aug-15,42.01,42.84,41.06,42.71,63031299
25-Aug-15,42.56,43.24,40.39,40.47,70239286
24-Aug-15,40.45,43.31,39.72,41.68,88049620
21-Aug-15,45.30,45.48,43.07,43.07,68835485
20-Aug-15,46.07,46.47,45.66,45.66,35671759
19-Aug-15,46.78,47.08,46.30,46.61,31485511
18-Aug-15,46.84,47.43,46.70,47.27,23574104
17-Aug-15,46.81,47.45,46.57,47.32,21099746
14-Aug-15,46.53,47.10,46.52,47.00,21473402
13-Aug-15,47.06,47.10,46.49,46.73,22627241
12-Aug-15,46.19,46.90,45.70,46.74,30198532
11-Aug-15,46.82,46.94,45.90,46.41,29237402
10-Aug-15,46.95,47.49,46.84,47.33,23079870
7-Aug-15,46.39,46.78,46.26,46.74,19163038
6-Aug-15,47.71,47.77,46.33,46.62,27368000
5-Aug-15,47.98,48.41,47.54,47.58,26959655
4-Aug-15,46.75,47.71,46.68,47.54,33403916
3-Aug-15,46.98,47.00,46.45,46.81,24125886
31-Jul-15,47.29,47.37,46.50,46.70,31201480
30-Jul-15,46.26,47.40,45.93,46.88,39777883
29-Jul-15,45.40,46.78,45.26,46.29,40945864
28-Jul-15,45.58,45.64,44.79,45.34,34328948
27-Jul-15,45.94,46.01,45.25,45.35,39701420
24-Jul-15,45.91,46.32,45.80,45.94,32333244
23-Jul-15,45.27,46.23,45.10,46.11,33934010
22-Jul-15,45.44,46.93,45.20,45.54,59152427
21-Jul-15,46.78,47.33,46.48,47.28,42781899
20-Jul-15,46.65,47.13,46.44,46.92,30631905
17-Jul-15,46.55,46.78,46.26,46.62,29467107
16-Jul-15,46.01,46.69,45.96,46.66,26271673
15-Jul-15,45.68,45.89,45.43,45.76,26629615
14-Jul-15,45.45,45.96,45.31,45.62,22880260
13-Jul-15,44.98,45.62,44.95,45.54,28178329
